005              "005"
m5gsstrk          "Gold Super Streak"
m5gsstrk07        "Gold Super Streak"
m5gstrik          "Gold Strike"
m5gstrik01        "Gold Strike"
m5gstrik01a       "Gold Strike"
m5gstrik02        "Gold Strike"
m5gstrik11        "Gold Strike"
m5gstrika         "Gold Strike"
m5gstriks         "Gold Strike"
m5hellrz          "Hellraiser"
m5hgl             "Happy Go Lucky"
m5hgl14           "Happy Go Lucky"
m5hgl16           "Happy Go Lucky"
m5hiclau          "High Claudius"
m5hifly           "High Flyer"
m5hifly03         "High Flyer"
m5hifly04         "High Flyer"
m5hilok           "Hi Lo Karate"
m5hisprt          "High Spirits"
m5hlsumo          "Hi Lo Sumo"
m5hocscl          "Hocus Pocus Club"
m5hocus           "Hocus Pocus"
m5hocus10         "Hocus Pocus"
m5holy            "The Holy Grail"
m5holy10          "The Holy Grail"
m5honmon          "Honey Money"
m5honmona         "Honey Money"
m5hopidl          "Hop Idol"
m5horn            "Horn Of Plenty"
m5hotrk           "Hot Rocks"
m5hotsht          "Hot Shots"
m5hotsht07a       "Hot Shots"
m5hotsht08        "Hot Shots"
m5hotsht08a       "Hot Shots"
m5hotsht10        "Hot Shots"
m5hotsht10a       "Hot Shots"
m5hotslt          "Hot Slot"
m5hotstf          "Hot Stuff"
m5hula            "Hula Moolah"
m5hula10          "Hula Moolah"
m5hulacl          "Hula Moolah Club"
m5hypalx          "Hypalinx"
m5hypno           "Hypnotic"
m5hypvip          "Hyper Viper"
m5invad           "Invaders"
m5jackbx          "Jack In The Box"
m5jackbx03        "Jack In The Box"
m5jackp2          "Jackpoteers 2"
m5jackp2a         "Jackpoteers 2"
m5jackpt          "Jackpoteers"
m5jackpt07        "Jackpoteers"
m5jakjok          "Jackpot Jokers"
m5jcptgn          "Jackpot Genie"
m5jcy             "Juicy Fruits"
m5jlstrk          "Jewel Strike"
m5jlyjwl          "Jolly Jewels"
m5jlyjwl01        "Jolly Jewels"
m5jlyjwl02        "Jolly Jewels"
m5jlyrog          "Jolly Roger"
m5jlyroga         "Jolly Roger"
m5jmpgem          "Jumping Gems"
m5jmpgem01        "Jumping Gems"
m5jmpgem03        "Jumping Gems"
m5jmpgmc          "Jumping Gems Club"
m5jmpjok          "Jumpin Jokers"
m5jmpjok11        "Jumpin Jokers"
m5jmpjoka         "Jumpin Jokers"
m5jmpjokb         "Jumpin Jokers"
m5jokpak          "Joker In The Pack"
m5kaleid          "Kaleidoscope Club"
m5kcclb           "King Cobra Club"
m5kcclb24         "King Cobra Club"
m5kingko          "King KO"
m5kingko04        "King KO"
m5kingko05        "King KO"
m5kingqc          "Kings & Queens Club"
m5kingqc06        "Kings & Queens Club"
m5kingqc07        "Kings & Queens Club"
m5kingqc08        "Kings & Queens Club"
m5kkebab          "King Kebab"
m5kkebab10        "King Kebab"
m5kkebaba         "King Kebab"
m5korma           "Korma Chameleon"
m5korma12         "Korma Chameleon"
m5kormcl          "Korma Chameleon Club"
m5lock            "Lock 'n' Load"
m5lock12          "Lock 'n' Load"
m5lock13          "Lock 'n' Load"
m5lockcl          "Lock 'n' Load Club"
m5lockcl14        "Lock 'n' Load Club"
m5lockcl15        "Lock 'n' Load Club"
m5loony           "Loony Juice"
m5loot            "Loot 'n' Khamun"
m5loota           "Loot 'n' Khamun"
m5lotta           "Lotta Luck"
m5lvwire          "Live Wire"
m5lvwirea         "Live Wire"
m5mag7s           "Magnificent 7s"
m5mag7sa          "Magnificent 7s"
m5mag7sb          "Magnificent 7s"
m5mag7sc          "Magnificent 7s"
m5mag7sd          "Magnificent 7s"
m5mag7se          "Magnificent 7s"
m5martns          "Money Mad Martians"
m5martns07        "Money Mad Martians"
m5mega            "Mega Zone"
m5minesw          "Minesweeper"
m5mmak            "Money Maker"
m5mmak06          "Money Maker"
m5monjok          "Monedin Joker"
m5monjoka         "Monedin Joker"
m5monmst          "Money Monster"
m5monmsta         "Money Monster"
m5monty           "Monty Python"
m5mpfc            "Monty Python's Flying Circus"
m5mpfccl          "Monty Python's Flying Circus Club"
m5mprio           "Monty Python Rio"
m5msf             "Manic Streak Features"
m5msfa            "Manic Streak Features"
m5neptun          "Neptunes Treasure"
m5nitro           "Nitro"
m5nnww            "Nudge Nudge Wink Wink"
m5nnwwgl          "Nudge Nudge Wink Wink Gold"
m5oohaah          "Ooh Aah Dracula"
m5oohaah01        "Ooh Aah Dracula"
m5oohrio          "Ooh Ahh Dracula Rio"
m5openbx          "Open The Box"
m5openbx01        "Open The Box"
m5openbx05        "Open The Box"
m5openbx06        "Open The Box"
m5overld          "Overload"
m5overld02        "Overload"
m5overld10        "Overload"
m5overld11        "Overload"
m5paint           "Paint The Town Red"
m5peepsh          "Peep Show"
m5piefac          "Pie Factory"
m5piefac12        "Pie Factory"
m5piefac23        "Pie Factory"
m5piefaca         "Pie Factory"
m5piefc2          "Pie Factory 2"
m5piefc2a         "Pie Factory 2"
m5piefc2b         "Pie Factory 2"
m5piefcr          "Pie Factory Rio"
m5ppussy          "Pink Pussy"
m5psy2            "Psycho Cash Beast 2"
m5psyccl          "Psycho Cash Beast Club"
m5psyccl01        "Psycho Cash Beast Club"
m5psyccla         "Psycho Cash Beast Club"
m5psyccla02       "Psycho Cash Beast Club"
m5psyccla24       "Psycho Cash Beast Club"
m5psycho          "Psycho Cash Beast"
m5psycho06        "Psycho Cash Beast"
m5psychoa         "Psycho Cash Beast"
m5psychoa21       "Psycho Cash Beast"
m5ptyani          "Party Animal"
m5ptyani01        "Party Animal"
m5qdraw           "Quick On The Draw"
m5qdraw12         "Quick On The Draw"
m5qdraw14         "Quick On The Draw"
m5qdraw15         "Quick On The Draw"
m5qdrawa          "Quick On The Draw"
m5qdrawb          "Quick On The Draw"
m5qshot           "Quack Shot"
m5qshot04         "Quack Shot"
m5quake           "Quake"
m5rainrn          "Rainbow Runner"
m5rainrna         "Rainbow Runner"
m5rampg           "Rampage"
m5rampg11         "Rampage"
m5rampg12         "Rampage"
m5ramrcl          "Ram Raid Club"
m5ramrd           "Ram Raid"
m5ratpk           "Rat Pack"
m5ratpka          "Rat Pack"
m5rawin           "Reel A Win"
m5razdz           "Razzle Dazzle Club"
m5razdz10         "Razzle Dazzle Club"
m5razdz11         "Razzle Dazzle Club"
m5rcx             "Royal Exchange Club"
m5rcxa            "Royal Exchange Club"
m5rdwarf          "Red Dwarf"
m5redbal          "Random Red Ball"
m5redrck          "Ready To Rock"
m5redrck10        "Ready To Rock"
m5redrcka         "Ready To Rock"
m5redx            "Red X"
m5redx12          "Red X"
m5reelth          "Reel Thunder"
m5reelwn          "Reel A Win"
m5reelwn24        "Reel A Win"
m5resfrg          "Reservoir Frogs"
m5revo            "Revolution"
m5revo13          "Revolution"
m5revoa           "Revolution"
m5rfymc           "Run For Your Money Club"
m5rfymc06         "Run For Your Money Club"
m5rgclb           "Rio Grande Club"
m5rgclb01         "Rio Grande Club"
m5rgclb01a        "Rio Grande Club"
m5rgclb03         "Rio Grande Club"
m5rgclb11         "Rio Grande Club"
m5rgclb12         "Rio Grande Club"
m5rgclb20         "Rio Grande Club"
m5rgclb21         "Rio Grande Club"
m5rhkni           "Red Hot Knights"
m5rhrg            "Red Hot Roll Gold"
m5rhrga           "Red Hot Roll Gold"
m5rhrgt           "Red Hot Roll Triple"
m5rhrgt02         "Red Hot Roll Triple"
m5rhrgt12         "Red Hot Roll Triple"
m5ritj            "Rumble In The Jungle"
m5rlup            "Roll Up"
m5rollup          "Roll Up Roll Up"
m5rollx           "Roll X"
m5rollx12         "Roll X"
m5ronr            "Reel Or No Reel"
m5ronr05          "Reel Or No Reel"
m5ronr07          "Reel Or No Reel"
m5roof            "Raise The Roof"
m5roofa           "Raise The Roof"
m5round           "Round & Round"
m5roundl          "Round & Round"
m5rthh            "Return To The Haunted House"
m5rub             "Rubies & Diamonds"
m5rwb             "Red White & Blue"
m5rwbbwb          "Red White & Blue"
m5rwbbwb15        "Red White & Blue"
m5rwbbwb24        "Red White & Blue"
m5rwbbwb25        "Red White & Blue"
m5sblz            "Snail Blazer"
m5scfinl          "Super Cup Final"
m5scharg          "Super Charged"
m5scharg05        "Super Charged"
m5scharg06        "Super Charged"
m5scharga         "Super Charged"
m5sec7            "Secret 7s"
m5sec7a           "Secret 7s"
m5seven           "Seven Deadly Spins"
m5shark           "Shark Raving Mad"
m5sharka          "Shark Raving Mad"
m5sheik           "Sheik Yer Money"
m5showtm          "Showtime"
m5sil7            "Silver 7s"
m5sil7a           "Silver 7s"
m5silver          "Silver Screen"
m5silver03        "Silver Screen"
m5silver06        "Silver Screen"
m5sixsht          "Six Shooter"
m5sixshta         "Six Shooter"
m5sixshtb         "Six Shooter"
m5sixshtc         "Six Shooter"
m5sixshtd         "Six Shooter"
m5sixshte         "Six Shooter"
m5sixshtf         "Six Shooter"
m5sixshtg         "Six Shooter"
m5sixshth         "Six Shooter"
m5sixshti         "Six Shooter"
m5sixshtj         "Six Shooter"
m5sixshtk         "Six Shooter"
m5sixshtl         "Six Shooter"
m5sixshtm         "Six Shooter"
m5sixshtn         "Six Shooter"
m5skulcl          "Skullduggery Club"
m5skulcl20        "Skullduggery Club"
m5skulcl23        "Skullduggery Club"
m5slide           "Slider"
m5smobik          "Smokey Bikin"
m5smobik12        "Smokey Bikin"
m5sondr           "Son Of Dracula"
m5sondr05         "Son Of Dracula"
m5sondra          "Son Of Dracula"
m5spddmn          "Speed Demon"
m5speccl          "Spectrum Club"
m5spicer          "The Spice Is Right"
m5spicer06        "The Spice Is Right"
m5spiker          "Spiker The Biker"
m5spiker02        "Spiker The Biker"
m5spikera         "Spiker The Biker"
m5spins           "Spinsation"
m5squids          "Squids In"
m5squids04a       "Squids In"
m5squids05        "Squids In"
m5squids06        "Squids In"
m5sstrk           "Super Streak"
m5sstrk02a        "Super Streak"
m5starcl          "Stars & Stripes Club"
m5stars           "Stars & Stripes"
m5stars10         "Stars & Stripes"
m5stars10a        "Stars & Stripes"
m5stars13a        "Stars & Stripes"
m5stars20         "Stars & Stripes"
m5stars22         "Stars & Stripes"
m5stars25         "Stars & Stripes"
m5stars25a        "Stars & Stripes"
m5stars26         "Stars & Stripes"
m5startr          "Stars & Stripes Triple"
m5stax            "Stax Of Cash"
m5supnov          "Supernova"
m5supnova         "Supernova"
m5supro           "Super Roulette"
m5suproa          "Super Roulette"
m5supstr          "Super Star"
m5supstra         "Super Star"
m5tball           "Thunderball"
m5tbird           "Thunderbird"
m5tempcl          "Temple Of Treasure Club"
m5tempp           "Temple Of Pleasure"
m5tempt           "Temple Of Treasure"
m5tempt05         "Temple Of Treasure"
m5tempt2          "Temple Of Treasure 2"
m5tempt203        "Temple Of Treasure 2"
m5tempt2a         "Temple Of Treasure 2"
m5tempta          "Temple Of Treasure"
m5temptb          "Temple Of Treasure"
m5thtsmg          "That's Magic"
m5tictac          "Tic Tac Tut"
m5tictacbwb       "Tic Tac Tut"
m5tictacbwb16     "Tic Tac Tut"
m5tomb            "Tomb Raiders"
m5topdog          "Top Dog"
m5topdog04        "Top Dog"
m5topdoga         "Top Dog"
m5topdol          "Top Dollar"
m5topdola         "Top Dollar"
m5trail           "Trailblazer Club"
m5trclb           "Tomb Raiders Club"
m5tsar            "Tsar Wars"
m5tst             "MPU 5 Test Rom"
m5ttop            "Treble Top"
m5ttop04          "Treble Top"
m5ttop10          "Treble Top"
m5ttopcl          "Treble Top Club"
m5ttwo            "Take Two"
m5ultimo          "Ultimo"
m5ultimo03a       "Ultimo"
m5ultimo04        "Ultimo"
m5upover          "Up & Over"
m5upover15        "Up & Over"
m5vampup          "Vamp It Up"
m5vertcl          "Vertigo Club"
m5vertgo          "Vertigo"
m5whdres          "Who Dares Spins"
m5winway          "Winning Ways"
m5wking           "Wild King"
m5wking05         "Wild King"
m5wonga           "A Fish Called Wonga"
m5wthing          "Wild Thing Club"
m5wthing11        "Wild Thing Club"
m5wthing20        "Wild Thing Club"
m5xchn            "Exchanges Unlimited"
m5xena            "Xena Warrior Princess"
m5xfact           "X Factor"
m5xfact02         "X Factor"
m5xfact04         "X Factor"
m5xfact11         "X Factor"
m5zigzag          "Zig Zag"
m660              "Mission 660"
m660b             "Mission 660"
m660j             "Mission 660"
m79amb            "M-79 Ambush"
m_mpac            "Mr. and Mrs. PacMan"
m_tppokr          "Top Poker"
ma6710            "Multi-Action 6710-13"
ma7551            "Multi-Action 7551"
ma7556            "Multi-Action 7556"
ma7558            "Multi-Action 7558"
mac2bios          "Multi Amenity Cassette System 2 BIOS"
mac_1808          "unknown game"
macattck          "Mac Attack"
mace              "Mace: The Dark Age"
macea             "Mace: The Dark Age"
macgalxy          "MAC's Galaxy"
mach2             "Mach 2"
mach2a            "Mach 2"
mach3             "M.A.C.H. 3"
mach3a            "M.A.C.H. 3"
mach3b            "M.A.C.H. 3"
mach9             "Mach-9"
macha             "Monoshiri Quiz Osyaberi Macha"
machbrkr          "Mach Breakers"
machbrkrj         "Mach Breakers - Numan Athletics 2"
machomou          "Macho Mouse"
macjungl          "MAC Jungle"
macjungn          "MAC Jungle"
macross           "Super Spacefortress Macross / Chou-Jikuu Yousai Macross"
macross2          "Super Spacefortress Macross II / Chou-Jikuu Yousai Macross II"
macross2g         "Super Spacefortress Macross II / Chou-Jikuu Yousai Macross II"
macross2k         "Macross II"
macrossp          "Macross Plus"
macsbios          "Multi Amenity Cassette System BIOS"
madalien          "Mad Alien"
madaliena         "Mad Alien"
madalienb         "Mad Alien"
madball           "Mad Ball V2.0"
madballn          "Mad Ball V2.0"
madcrash          "Mad Crasher"
madcrush          "Mad Crusher"
maddog            "Mad Dog McCree"
maddog2           "Mad Dog II: The Lost Gold"
maddog2_100       "Mad Dog II: The Lost Gold"
maddog2_110       "Mad Dog II: The Lost Gold"
maddog2_202       "Mad Dog II: The Lost Gold"
maddog_202        "Mad Dog McCree"
maddoga           "Mad Dog McCree"
maddonna          "Mad Donna"
maddonnab         "Mad Donna"
madgear           "Mad Gear"
madgearj          "Mad Gear"
madmotor          "Mad Motor"
madrace           "Mad Race"
madshark          "Mad Shark"
madzoo            "Mad Zoo"
mag10             "Magic 10 Nevada"
mag_burn          "The Burning Cavern"
mag_day           "A Day In Space"
mag_drac          "Dracula's Castle"
mag_exzi          "Exzisus"
mag_pdak          "Paris Dakar"
mag_time          "Time Scanner"
mag_war           "War Mission"
mag_wara          "War Mission"
mag_xain          "Xain'd Sleena"
magdrop           "Magical Drop"
magdrop2          "Magical Drop II"
magdrop3          "Magical Drop III"
magdropp          "Magical Drop Plus 1"
magerror          "Magical Error wo Sagase"
magforst          "Magic Forest"
magibomb          "Magic Bomb"
magibomba         "Magic Bomb"
magibombb         "Magic Bomb"
magibombc         "Magic Bomb"
magibombd         "Magic Bomb"
magibombe         "Magic Bomb"
magic             "Magic"
magic10           "Magic's 10"
magic102          "Magic's 10 2"
magic102a         "Magic's 10 2"
magic10a          "Magic's 10"
magic10b          "Magic's 10"
magic10c          "Magic's 10"
magicard          "Magic Card"
magicarda         "Magic Card"
magicardb         "Magic Card"
magicarde         "Magic Card Export 94"
magicardf         "Magic Export"
magicardj         "Magic Card III Jackpot"
magicardw         "Magic Card - Wien"
magicbal          "Magicball Fighting"
magicbom          "Magic Bomb"
magicbub          "Magic Bubble"
magicbuba         "Magic Bubble"
magicbubb         "Magic Bubble"
magicbubc         "Magic Bubble"
magicfly          "Magic Fly"
magician          "The Magician"
magicle           "Magic Lotto Export"
magicrd2          "Magic Card II"
magicrd2a         "Magic Card II"
magicrd2b         "Magic Card II"
magicrd2c         "Magic Card II"
magicstk          "Magic Sticks"
magictg           "Magic the Gathering: Armageddon"
magictga          "Magic the Gathering: Armageddon"
magimask          "Magic Mask"
magimaska         "Magic Mask"
magimaskb         "Magic Mask"
magipur           "Magic Purple"
magix             "Magix / Rock"
magixb            "Magix / Rock"
magjoker          "Magic Joker"
maglord           "Magician Lord"
maglordh          "Magician Lord"
magmax            "Mag Max"
magmaxa           "Mag Max"
magmerm           "Magic Mermaid"
magodds           "Magical Odds"
magoddsa          "Magical Odds"
magoddsb          "Magical Odds"
magoddsc          "Magical Odds"
magoddsd          "Magical Odds"
magreel           "Magic Reels"
magspeed          "Magical Speed"
magspot           "Magical Spot"
magspot2          "Magical Spot II"
magtcha5          "Magic Touch"
magtcha5a         "Magic Touch"
magtouch          "Magical Touch"
magtruck          "Magical Truck Adventure"
maguila           "Up Maguila"
magworm           "Magic Worm"
magworma          "Magic Worm"
magzun            "Magical Zunou Power"
mahjngoh          "Mahjong Oh"
mahmajn           "Tokoro San no MahMahjan"
mahmajn2          "Tokoro San no MahMahjan 2"
mahoudai          "Mahou Daisakusen"
mahretsu          "Mahjong Kyo Retsuden"
maiko             "Maikobana"
mainevt           "The Main Event"
mainevt2p         "The Main Event"
mainevto          "The Main Event"
mainline          "Mainline Double Joker Poker"
mainsnk           "Main Event"
majest12j         "Majestic Twelve - The Space Invaders Part IV"
majest12u         "Majestic Twelve - The Space Invaders Part IV"
majest12ua        "Majestic Twelve - The Space Invaders Part IV"
majorpkr          "Major Poker"
majorpkra         "Major Poker"
majorpkrb         "Major Poker"
majorpkrc         "Major Poker"
majrjhdx          "Mahjong Raijinhai DX"
majs101b          "Mahjong Studio 101 [BET]"
majtitl2          "Major Title 2"
majtitl2a         "Major Title 2"
majtitl2b         "Major Title 2"
majtitl2j         "Major Title 2"
majtitle          "Major Title"
majtitlej         "Major Title"
majuu             "Majuu no Ohkoku"
majxtal7          "Mahjong X-Tal 7 - Crystal Mahjong / Mahjong Diamond 7"
makaiden          "Makai Densetsu"
makaijan          "Makaijan [BET]"
makaimur          "Makaimura"
makaimurc         "Makaimura"
makaimurg         "Makaimura"
maketrax          "Make Trax"
maketrxb          "Make Trax"
makyosen          "Makyou Senshi"
maldaiza          "Maldaliza"
maletmad          "Mallet Madness v2.1"
malzak            "Malzak"
malzak2           "Malzak II"
mamboagg          "Mambo A Go-Go"
mamboagga         "Mambo A Go-Go e-Amusement"
mammothm          "Mammoth Money"
mamonoro          "Mamoru-kun wa Norowarete Shimatta!"
mandinga          "Mandinga"
mandingac         "Mandanga"
mandingaeg        "Mandinga"
mandingarf        "Mandanga"
mangchi           "Mang-Chi"
manhatan          "Manhattan 24 Bunsyo"
maniach           "Mania Challenge"
maniach2          "Mania Challenge"
maniacsp          "Maniac Square"
maniacsq          "Maniac Square"
maniacsqa         "Maniac Square"
maniacsqs         "Maniac Square"
maniacsqu         "Maniac Square"
manicpnc          "Manic Panic Ghosts!"
manohman          "Mann, oh-Mann"
manpuku           "Manpuku Suizokukan"
manxtt            "Manx TT Superbike - DX"
manxttc           "Manx TT Superbike - Twin"
manybloc          "Many Block"
mappy             "Mappy"
mappyj            "Mappy"
marble            "Marble Madness"
marble2           "Marble Madness"
marble3           "Marble Madness"
marble4           "Marble Madness"
marble5           "Marble Madness"
marineb           "Marine Boy"
marinedt          "Marine Date"
mariner           "Mariner"
mario             "Mario Bros."
mariobl           "Mario Bros."
mariobla          "Mario Bros."
marioe            "Mario Bros."
mariof            "Mario Bros."
marioj            "Mario Bros."
mariojjl          "Super Mario Fushigi no JanJanLand"
mariorou          "Mario Roulette"
marioun           "Super Mario World - Mario Undoukai"
markham           "Markham"
marmagic          "Margarita Magic"
marmagicu         "Margarita Magic"
marmagicua        "Margarita Magic"
marqueen          "Martian Queen"
mars              "Mars"
marsarf           "Mars"
marsp             "Mars - God of War"
marspf            "Mars - God of War"
marspp            "Mars - God of War"
marstv            "Mars TV"
martmast          "Martial Masters / Xing Yi Quan"
martmast102c      "Martial Masters / Xing Yi Quan"
martmast103c      "Martial Masters / Xing Yi Quan"
martmast104c      "Martial Masters / Xing Yi Quan"
martmasttw        "Martial Masters / Xing Yi Quan"
maruchan          "Maru-Chan de Goo!"
marukin           "Super Marukin-Ban"
marukodq          "Chibi Maruko-chan: Maruko Deluxe Quiz"
marvice           "Marbella Vice"
marvice100hz      "Marbella Vice"
marvins           "Marvin's Maze"
marvland          "Marvel Land"
marvlandup        "Marvel Land"
marywu            "unknown Labeled 'WU- MARY-1A' Music by: SunKiss Chen"
masao             "Masao"
maski             "Maski Show"
maskia            "Maski Show"
maskib            "Maski Show"
maskic            "Maski Show"
masmario          "Super Mario Fushigi no Korokoro Party"
masmario2         "Super Mario Fushigi no Korokoro Party 2"
masmarios         "Super Mario Fushigi no Korokoro Party"
mastbond          "Master Bond"
mastboy           "Master Boy"
mastboya          "Master Boy"
mastboyi          "Master Boy"
mastboyia         "Master Boy"
mastboyo          "Master Boy"
mastboyoa         "Master Boy"
mastboyob         "Master Boy"
mastboyoc         "Master Boy"
mastcrane         "Master Crane"
mastcranea        "Master Crane"
masterw           "Master of Weapon"
masterwj          "Master of Weapon"
masterwu          "Master of Weapon"
mastfury          "Master's Fury"
mastkin           "The Masters of Kin"
mastninj          "Master Ninja"
mastrglf          "Master's Golf"
matahari          "Mata Hari"
match98           "Match '98"
matchemg          "Match'em Up"
matchit           "Match It"
matchit2          "Match It II"
matmania          "Mat Mania"
matrim            "Matrimelee / Shin Gouketsuji Ichizoku Toukon"
matrimbl          "Matrimelee / Shin Gouketsuji Ichizoku Toukon"
matrix            "Matrix"
mausuke           "Mausuke no Ojama the World"
mav_100           "Maverick"
mav_400           "Maverick"
mav_401           "Maverick"
mav_402           "Maverick"
maverik           "Maverik"
maxaflex          "Max-A-Flex"
maxf_102          "Maximum Force v1.02"
maxf_ng           "Maximum Force"
maxforce          "Maximum Force v1.05"
maxidbl           "Maxi Double Poker"
maxideal          "Maxi-Dealer"
maxrpm            "Max RPM"
maxspeed          "Maximum Speed"
maya              "Maya"
mayaa             "Maya"
mayab             "Maya"
mayac             "Maya"
mayday            "Mayday"
maydaya           "Mayday"
maydayb           "Mayday"
mayhem            "Mayhem 2002"
mayjin3           "Mayjinsen 3"
mayjinsn          "Mayjinsen"
mayjisn2          "Mayjinsen 2"
mayumi            "Kiki-Ippatsu Mayumi-chan"
mazan             "Mazan: Flash of the Blade"
mazanj            "Mazan: Flash of the Blade"
mazanu            "Mazan: Flash of the Blade"
maze              "Amazing Maze"
mazebl            "Maze"
mazeinv           "Maze Invaders"
mazerbla          "Mazer Blazer"
mazerblaa         "Mazer Blazer"
mazinger          "Mazinger Z"
mazingerj         "Mazinger Z"
mb_10             "Monster Bash"
mb_106            "Monster Bash"
mb_106b           "Monster Bash"
mbaa              "Melty Blood Actress Again Version A"
mbaao             "Melty Blood Actress Again"
mbomberj          "Muscle Bomber: The Body Explosion"
mbombrd           "Muscle Bomber Duo: Ultimate Team Battle"
mbombrdj          "Muscle Bomber Duo: Heat Up Warriors"
mbossy            "Mike Bossy"
mbrush            "Magic Brush"
mbs2euro          "Mega Bonus Star II"
mbutrfly          "Magical Butterfly"
mcard_h8          "Magic Card"
mcastle           "Magic Castle"
mcastlef          "Magic Castle"
mcastleg          "Magic Castle"
mcastlei          "Magic Castle"
mcatadv           "Magical Cat Adventure"
mcatadvj          "Magical Cat Adventure"
mchampdx          "Multi Champ Deluxe"
mchampdxa         "Multi Champ Deluxe"
mchampdxb         "Multi Champ Deluxe"
mcheonru          "Ma Cheon Ru"
mchilli           "More Chilli"
mchilliq          "More Chilli"
mcircus           "Merry Circus"
mcitylov          "City Love [BET]"
mclass            "Magic Class"
mcnpshnt          "Mahjong Campus Hunting"
mcolors           "Magic Colors"
mcolorsa          "Magic Colors"
mcombat           "Missile Combat"
mcombata          "Missile Combat"
mcombats          "Missile Combat"
mcontest          "Miss Mahjong Contest"
md23do            "Mad Dog II: The Lost Gold"
mdchoice          "Dealer's Choice"
mdhorse           "Derby Quiz My Dream Horse"
mdntmrdr          "Midnight Marauders"
mdrawpkr          "Draw Poker - Joker's Wild"
mdrawpkra         "Draw Poker - Joker's Wild"
mdrink            "Magic Drink"
mead4in1          "Meadows 4 in 1 [TTL]"
mechatt           "Mechanized Attack"
mechattj          "Mechanized Attack"
mechattu          "Mechanized Attack"
mechattu1         "Mechanized Attack"
medlanes          "Meadows Lanes"
medusa            "Medusa"
megaaton          "Meg-Aaton"
megaatona         "Meg-Aaton"
megablst          "Mega Blast"
megablstj         "Mega Blast"
megablstu         "Mega Blast"
megacard          "Mega Card"
megadble          "Mega Double Poker"
megadblj          "Mega Double Poker Jackpot"
megadon           "Megadon"
megadpkr          "Mega Double Poker"
megadpkrb         "Mega Double Poker"
megaforc          "Mega Force"
megaforcu         "Mega Force"
megakat           "Mega Katok 2"
megaline          "Mega Lines"
megaman           "Mega Man: The Power Battle"
megaman2          "Mega Man 2: The Power Fighters"
megaman2a         "Mega Man 2: The Power Fighters"
megaman2h         "Mega Man 2: The Power Fighters"
megamana          "Mega Man: The Power Battle"
megamn2d          "Mega Man 2: The Power Fighters"
megaphx           "Mega Phoenix"
megaplay          "Mega Play BIOS"
megastrp          "Mega Double Strip"
megat             "Pit Boss Megatouch"
megat2            "Pit Boss Megatouch II"
megat2a           "Pit Boss Megatouch II"
megat2b           "Pit Boss Megatouch II"
megat2ca          "Pit Boss Megatouch II"
megat2caa         "Pit Boss Megatouch II"
megat2mn          "Pit Boss Megatouch II"
megat3            "Megatouch III"
megat3a           "Megatouch III"
megat3b           "Megatouch III"
megat3c           "Megatouch III"
megat3ca          "Megatouch III"
megat3caa         "Megatouch III"
megat3d           "Megatouch III"
megat3nj          "Megatouch III"
megat3te          "Megatouch III Tournament Edition"
megat3tg          "Megatouch III Turnier Edition"
megat4            "Megatouch IV"
megat4a           "Megatouch IV"
megat4b           "Megatouch IV"
megat4c           "Megatouch IV"
megat4d           "Megatouch IV"
megat4s           "Super Megatouch IV"
megat4sa          "Super Megatouch IV"
megat4sb          "Super Megatouch IV"
megat4smn         "Super Megatouch IV"
megat4snj         "Super Megatouch IV"
megat4st          "Super Megatouch IV Tournament Edition"
megat4stg         "Super Megatouch IV Turnier Version"
megat4te          "Megatouch IV Tournament Edition"
megat4tea         "Megatouch IV Tournament Edition"
megat5            "Megatouch 5"
megat5a           "Megatouch 5"
megat5g           "Megatouch 5"
megat5nj          "Megatouch 5"
megat5t           "Megatouch 5 Tournament Edition"
megat5tg          "Megatouch 5 Turnier Version"
megat6            "Megatouch 6"
megat7e           "Megatouch 7 Encore Edition"
megatack          "Megatack"
megatacka         "Megatack"
megatech          "Mega-Tech"
megazone          "Mega Zone"
megazonea         "Mega Zone"
megazoneb         "Mega Zone"
megazoneh         "Mega Zone"
megazonei         "Mega Zone"
megazonej         "Mega Zone"
meijinsn          "Meijinsen"
meijinsna         "Meijinsen"
meikyuh           "Meikyuu Hunter G"
meikyuha          "Meikyuu Hunter G"
meltyb            "Melty Blood Act Cadenza Version B2"
meltybld          "Melty Blood Act Cadenza Ver. A"
meltyblo          "Melty Blood Act Cadenza"
meltybo           "Melty Blood Act Cadenza Version B"
memlane           "Memory Lane"
menghong          "Meng Hong Lou"
meosism           "Meosis Magic"
mephistp          "Mephisto"
mephistp1         "Mephisto"
mephistpn         "Mephisto"
mercenario        "Mercenario"
mercs             "Mercs"
mercsj            "Senjou no Ookami II"
mercsu            "Mercs"
mercsur1          "Mercs"
meritjp           "Merit Joker Poker"
merlinmm          "Merlins Money Maze"
mermaid           "Mermaid"
merryjn           "Merry Joiner"
metabee           "Metabee Shot"
metafox           "Meta Fox"
metalb            "Metal Black"
metalbj           "Metal Black"
metalman          "Metal Man"
metalmx           "Metal Maniax"
metamrph          "Metamorphic Force"
metamrpha         "Metamorphic Force"
metamrphe         "Metamorphic Force"
metamrphj         "Metamorphic Force"
metamrphu         "Metamorphic Force"
meteor            "Meteoroids"
meteora           "Meteor"
meteorbl          "Meteor"
meteorho          "Meteor"
meteorite         "Meteorite"
meteorp           "Meteor"
meteorpo          "Meteor"
meteors           "Meteors"
meteort           "Meteor"
meteorts          "Meteorites"
metestrm          "Meteor Storm"
